ElementID,Verdict,PropID,CentroidX,CentroidY,CentroidZ,MinEdge_mm,AspectRatio,MaxAngle_deg,Action
485325,COLLAPSED_TO_LINE,14,-3043.381,-1283.588,8414.268,0.002,19325.862,270,MANUAL_delete
485326,COLLAPSED_TO_LINE,14,-3043.381,-1283.588,8454.54,0.002,17827.333,270,MANUAL_delete
485777,COLLAPSED,14,-4642.128,-1327.423,8454.54,0.002,16639.366,276.122,auto_convert_TRIA3
486327,COLLAPSED_TO_LINE,14,-1094.754,-1230.16,8030.177,0.002,1785.19,270,MANUAL_delete
486482,COLLAPSED_TO_LINE,14,-2299.862,1126.611,8030.177,0.001,3977.719,270,MANUAL_delete
496739,COLLAPSED,14,-1090.883,-1121.77,8031.677,0.002,19939.533,327.113,auto_convert_TRIA3
498342,COLLAPSED,14,-3049.454,-1303.794,8474.677,0.002,18719.743,294.28,auto_convert_TRIA3
498383,COLLAPSED,14,-4638.189,-1347.354,8474.677,0.002,17931.73,290.183,auto_convert_TRIA3
533450,COLLAPSED_TO_LINE,22,-39271.707,-1853.108,9074.177,0,92259.519,270,MANUAL_delete
533511,COLLAPSED,22,-37435.445,-438.422,9071.04,0,104118.618,286.168,auto_convert_TRIA3
533513,COLLAPSED_TO_LINE,22,-37468.409,-463.818,9074.177,0,92259.513,270,MANUAL_delete
533548,COLLAPSED_TO_LINE,22,-39240.07,-1828.735,9074.177,0,92259.519,270,MANUAL_delete
533549,COLLAPSED_TO_LINE,22,-37500.046,-488.192,9074.177,0,92259.513,270,MANUAL_delete
533550,COLLAPSED_TO_LINE,22,-37531.682,-512.565,9074.177,0,92259.507,270,MANUAL_delete
533551,COLLAPSED_TO_LINE,22,-37563.319,-536.939,9074.177,0,92259.513,270,MANUAL_delete
533552,COLLAPSED_TO_LINE,22,-37658.23,-610.059,9074.177,0,92259.513,270,MANUAL_delete
533553,COLLAPSED_TO_LINE,22,-37689.866,-634.433,9074.177,0,92259.513,270,MANUAL_delete
533554,COLLAPSED_TO_LINE,22,-37753.14,-683.18,9074.177,0,92259.513,270,MANUAL_delete
533555,COLLAPSED_TO_LINE,22,-37721.503,-658.806,9074.177,0,92259.513,270,MANUAL_delete
533556,COLLAPSED_TO_LINE,22,-37594.956,-561.312,9074.177,0,92259.513,270,MANUAL_delete
533557,COLLAPSED_TO_LINE,22,-37626.593,-585.686,9074.177,0,92259.513,270,MANUAL_delete
533558,COLLAPSED_TO_LINE,22,-37784.777,-707.553,9074.177,0,92259.513,270,MANUAL_delete
533559,COLLAPSED_TO_LINE,22,-37816.414,-731.927,9074.177,0,92259.513,270,MANUAL_delete
533560,COLLAPSED_TO_LINE,22,-37848.05,-756.3,9074.177,0,92259.513,270,MANUAL_delete
533561,COLLAPSED_TO_LINE,22,-38385.876,-1170.65,9074.177,0,92259.519,270,MANUAL_delete
533562,COLLAPSED_TO_LINE,22,-38417.513,-1195.023,9074.177,0,92259.519,270,MANUAL_delete
533563,COLLAPSED_TO_LINE,22,-38449.15,-1219.397,9074.177,0,92259.519,270,MANUAL_delete
533564,COLLAPSED_TO_LINE,22,-38544.06,-1292.518,9074.177,0,92259.519,270,MANUAL_delete
533565,COLLAPSED_TO_LINE,22,-38512.424,-1268.144,9074.177,0,92259.513,270,MANUAL_delete
533566,COLLAPSED_TO_LINE,22,-38480.787,-1243.77,9074.177,0,92259.519,270,MANUAL_delete
533567,COLLAPSED_TO_LINE,22,-38290.966,-1097.529,9074.177,0,92259.519,270,MANUAL_delete
533568,COLLAPSED_TO_LINE,22,-38322.603,-1121.903,9074.177,0,92259.519,270,MANUAL_delete
533569,COLLAPSED_TO_LINE,22,-38354.239,-1146.276,9074.177,0,92259.519,270,MANUAL_delete
533570,COLLAPSED_TO_LINE,22,-38227.692,-1048.782,9074.177,0,92259.519,270,MANUAL_delete
533571,COLLAPSED_TO_LINE,22,-38259.329,-1073.156,9074.177,0,92259.519,270,MANUAL_delete
533572,COLLAPSED_TO_LINE,22,-38037.871,-902.541,9074.177,0,92259.519,270,MANUAL_delete
533573,COLLAPSED_TO_LINE,22,-38069.508,-926.915,9074.177,0,92259.513,270,MANUAL_delete
533574,COLLAPSED_TO_LINE,22,-38101.145,-951.288,9074.177,0,92259.513,270,MANUAL_delete
533575,COLLAPSED_TO_LINE,22,-38196.055,-1024.409,9074.177,0,92259.519,270,MANUAL_delete
533576,COLLAPSED_TO_LINE,22,-38164.419,-1000.035,9074.177,0,92259.513,270,MANUAL_delete
533577,COLLAPSED_TO_LINE,22,-38132.782,-975.662,9074.177,0,92259.513,270,MANUAL_delete
533578,COLLAPSED_TO_LINE,22,-37911.324,-805.047,9074.177,0,92259.513,270,MANUAL_delete
533579,COLLAPSED_TO_LINE,22,-37942.961,-829.421,9074.177,0,92259.513,270,MANUAL_delete
533580,COLLAPSED_TO_LINE,22,-37974.598,-853.794,9074.177,0,92259.519,270,MANUAL_delete
533581,COLLAPSED_TO_LINE,22,-38006.235,-878.168,9074.177,0,92259.519,270,MANUAL_delete
533582,COLLAPSED_TO_LINE,22,-37879.687,-780.674,9074.177,0,92259.513,270,MANUAL_delete
533583,COLLAPSED_TO_LINE,22,-38986.976,-1633.747,9074.177,0,92259.519,270,MANUAL_delete
533584,COLLAPSED_TO_LINE,22,-39018.613,-1658.12,9074.177,0,92259.519,270,MANUAL_delete
533585,COLLAPSED_TO_LINE,22,-39050.249,-1682.494,9074.177,0,92259.519,270,MANUAL_delete
533586,COLLAPSED_TO_LINE,22,-38892.065,-1560.626,9074.177,0,92259.519,270,MANUAL_delete
533587,COLLAPSED_TO_LINE,22,-38923.702,-1585,9074.177,0,92259.519,270,MANUAL_delete
533588,COLLAPSED_TO_LINE,22,-38955.339,-1609.373,9074.177,0,92259.519,270,MANUAL_delete
533589,COLLAPSED_TO_LINE,22,-39113.523,-1731.241,9074.177,0,92259.519,270,MANUAL_delete
533590,COLLAPSED_TO_LINE,22,-39145.16,-1755.614,9074.177,0,92259.519,270,MANUAL_delete
533591,COLLAPSED_TO_LINE,22,-39208.433,-1804.361,9074.177,0,92259.519,270,MANUAL_delete
533592,COLLAPSED_TO_LINE,22,-39176.797,-1779.988,9074.177,0,92259.519,270,MANUAL_delete
533593,COLLAPSED_TO_LINE,22,-39081.886,-1706.867,9074.177,0,92259.519,270,MANUAL_delete
533594,COLLAPSED_TO_LINE,22,-38797.155,-1487.506,9074.177,0,92259.519,270,MANUAL_delete
533595,COLLAPSED_TO_LINE,22,-38765.518,-1463.132,9074.177,0,92259.519,270,MANUAL_delete
533596,COLLAPSED_TO_LINE,22,-38733.881,-1438.759,9074.177,0,92259.519,270,MANUAL_delete
533597,COLLAPSED_TO_LINE,22,-38860.428,-1536.253,9074.177,0,92259.519,270,MANUAL_delete
533598,COLLAPSED_TO_LINE,22,-38828.792,-1511.879,9074.177,0,92259.519,270,MANUAL_delete
533599,COLLAPSED_TO_LINE,22,-38638.971,-1365.638,9074.177,0,92259.519,270,MANUAL_delete
533600,COLLAPSED_TO_LINE,22,-38670.608,-1390.012,9074.177,0,92259.519,270,MANUAL_delete
533601,COLLAPSED_TO_LINE,22,-38702.244,-1414.385,9074.177,0,92259.519,270,MANUAL_delete
533602,COLLAPSED_TO_LINE,22,-38575.697,-1316.891,9074.177,0,92259.519,270,MANUAL_delete
533603,COLLAPSED_TO_LINE,22,-38607.334,-1341.265,9074.177,0,92259.513,270,MANUAL_delete
533725,COLLAPSED,22,-37435.445,438.497,9071.04,0,104118.625,286.168,auto_convert_TRIA3
533727,COLLAPSED_TO_LINE,22,-37468.409,463.893,9074.177,0,92259.513,270,MANUAL_delete
533853,COLLAPSED_TO_LINE,22,-39271.707,1853.183,9074.177,0,92259.519,270,MANUAL_delete
533869,COLLAPSED_TO_LINE,22,-39240.07,1828.809,9074.177,0,92259.519,270,MANUAL_delete
533870,COLLAPSED_TO_LINE,22,-39208.433,1804.436,9074.177,0,92259.519,270,MANUAL_delete
533871,COLLAPSED_TO_LINE,22,-39145.16,1755.689,9074.177,0,92259.519,270,MANUAL_delete
533872,COLLAPSED_TO_LINE,22,-39176.797,1780.062,9074.177,0,92259.519,270,MANUAL_delete
533873,COLLAPSED_TO_LINE,22,-38006.235,878.243,9074.177,0,92259.513,270,MANUAL_delete
533874,COLLAPSED_TO_LINE,22,-38037.871,902.616,9074.177,0,92259.513,270,MANUAL_delete
533875,COLLAPSED_TO_LINE,22,-38101.145,951.363,9074.177,0,92259.513,270,MANUAL_delete
533876,COLLAPSED_TO_LINE,22,-38069.508,926.99,9074.177,0,92259.513,270,MANUAL_delete
533877,COLLAPSED_TO_LINE,22,-37974.598,853.869,9074.177,0,92259.513,270,MANUAL_delete
533878,COLLAPSED_TO_LINE,22,-37942.961,829.496,9074.177,0,92259.513,270,MANUAL_delete
533879,COLLAPSED_TO_LINE,22,-37911.324,805.122,9074.177,0,92259.513,270,MANUAL_delete
533880,COLLAPSED_TO_LINE,22,-38227.692,1048.857,9074.177,0,92259.519,270,MANUAL_delete
533881,COLLAPSED_TO_LINE,22,-38259.329,1073.231,9074.177,0,92259.513,270,MANUAL_delete
533882,COLLAPSED_TO_LINE,22,-38322.603,1121.978,9074.177,0,92259.513,270,MANUAL_delete
533883,COLLAPSED_TO_LINE,22,-38290.966,1097.604,9074.177,0,92259.513,270,MANUAL_delete
533884,COLLAPSED_TO_LINE,22,-38196.055,1024.484,9074.177,0,92259.519,270,MANUAL_delete
533885,COLLAPSED_TO_LINE,22,-38164.419,1000.11,9074.177,0,92259.513,270,MANUAL_delete
533886,COLLAPSED_TO_LINE,22,-38132.782,975.737,9074.177,0,92259.513,270,MANUAL_delete
533887,COLLAPSED_TO_LINE,22,-37784.777,707.628,9074.177,0,92259.513,270,MANUAL_delete
533888,COLLAPSED_TO_LINE,22,-37753.14,683.255,9074.177,0,92259.513,270,MANUAL_delete
533889,COLLAPSED_TO_LINE,22,-37689.866,634.508,9074.177,0,92259.513,270,MANUAL_delete
533890,COLLAPSED_TO_LINE,22,-37721.503,658.881,9074.177,0,92259.513,270,MANUAL_delete
533891,COLLAPSED_TO_LINE,22,-37816.414,732.002,9074.177,0,92259.513,270,MANUAL_delete
533892,COLLAPSED_TO_LINE,22,-37848.05,756.375,9074.177,0,92259.513,270,MANUAL_delete
533893,COLLAPSED_TO_LINE,22,-37879.687,780.749,9074.177,0,92259.513,270,MANUAL_delete
533894,COLLAPSED_TO_LINE,22,-37658.23,610.134,9074.177,0,92259.513,270,MANUAL_delete
533895,COLLAPSED_TO_LINE,22,-37626.593,585.76,9074.177,0,92259.513,270,MANUAL_delete
533896,COLLAPSED_TO_LINE,22,-37594.956,561.387,9074.177,0,92259.513,270,MANUAL_delete
533897,COLLAPSED_TO_LINE,22,-37500.046,488.266,9074.177,0,92259.513,270,MANUAL_delete
533898,COLLAPSED_TO_LINE,22,-37531.682,512.64,9074.177,0,92259.513,270,MANUAL_delete
533899,COLLAPSED_TO_LINE,22,-37563.319,537.013,9074.177,0,92259.513,270,MANUAL_delete
533900,COLLAPSED_TO_LINE,22,-38638.971,1365.713,9074.177,0,92259.513,270,MANUAL_delete
533901,COLLAPSED_TO_LINE,22,-38607.334,1341.339,9074.177,0,92259.513,270,MANUAL_delete
533902,COLLAPSED_TO_LINE,22,-38544.06,1292.592,9074.177,0,92259.519,270,MANUAL_delete
